0.930866	0.271744
0.116862	0.802272
0.563237	1.233827
0.349978	1.817110
0.375702	2.313142
0.604067	2.999615
0.299085	3.474244
-0.064818	4.652581
1.398975	-0.074888
1.391676	1.049655
1.160173	1.564420
1.608240	1.961066
1.342551	2.416602
1.562803	3.106261
1.064323	3.488212
1.391571	3.776807
2.141749	0.281557
2.448764	1.049310
2.586193	1.480577
2.184154	1.890135
2.543788	2.569701
1.866666	2.730649
2.487271	3.514713
1.770058	3.801211
3.063610	0.284279
3.555957	0.889567
2.773178	1.238788
3.222748	1.948208
3.511009	2.742986
3.469543	2.862983
3.386142	3.557367
3.241826	4.298552
4.185830	0.387196
4.197804	0.781788
3.907473	1.217865
4.145059	2.032152
4.437937	2.698011
3.992574	3.148598
4.143524	3.371457
4.134823	4.588720
4.703293	0.511607
5.243425	0.469836
5.109806	1.133103
5.229939	1.648571
4.891341	2.325022
5.372004	3.201157
5.047313	3.488913
4.917538	4.471589
