0	1 	41 	40 	47 	7
0	7 	6 	14 	15 	8
0	8 	9 	10 	2 	1
1	2 	3 	43 	42 	41
2	10	11 	12 	4 	3
3	4 	5 	45 	44 	43
4	12	13 	14 	6 	5
5	6 	7 	47 	46 	45
8	15	23 	16 	17 	9
9	17	18 	19 	11 	10
11 	19 	20 	21 	13 	12
13 	21 	22 	23 	15 	14
16 	23 	22 	30 	31 	24
16 	24 	25 	26 	18 	17
18 	26 	27 	28 	20 	19
20 	28 	29 	30 	22 	21
24 	31 	39 	32 	33 	25
25 	33 	34 	35 	27 	26
27 	35 	36 	37 	29 	28
29 	37 	38 	39 	31 	30
32 	39 	38 	46 	47 	40
32 	40 	41 	42 	34 	33
34 	42 	43 	44 	36 	35
36 	44 	45 	46 	38 	37
